,predicted headline,actual headline
647,Facebook to Develop Direct-To-Your-Own Building 8 ’Moon Shot’ - Breitbart.,Facebook Working on Brain-Computer Interface to Translate Thoughts to Text - Breitbart
648,Sanders: ’I think she should cut ties to the Clinton Foundation’.,Trump campaign uses Sanders’ words to knock Clinton over foundation ties
649,Donald Trump: ’We’re Going to Make America Great Again’ - Breitbart.,Donald Trump: SCOTUS ’Kept us Safe from Exec Amnesty-for Now’ - Breitbart
650,22 selfies of the week.,Look at me! 22 selfies of the week
651,NAACP to protest Jeff Sessions nomination.,Arrests end NAACP sit-in at Jeff Sessions’ office
652,Evergreen Faculty: ’Evergreen Faculty Are As Bias as One Might Expect’ - Breitbart.,Report: Evergreen State College Faculty Donate Overwhelmingly to Democrats - Breitbart
653,Rand Paul: ’Happy Festivus’ Day - Breitbart.,Senator Rand Paul’s 2016 Festivus Twitter Storm - Breitbart
654,US: Russia bombed Syrian Red Crescent convoy.,UN chief calls convoy attackers in Syria ’cowards’
655,Trump: ’Bomb went off’ in New York.,Trump says ’bomb went off in New York’
656,United CEO Oscar Munoz shared his airline’s official recap of the incident.,United is investigating why authorities dragged a passenger off a flight — here’s what it found
657,Obama vetoes UN resolution condemning Israel.,Opinion: Obama administration was hypocritical on UN’s Israeli settlements vote
658,Trump picks top advisers to lead Trump’s transition.,"Trump picks Priebus as White House chief of staff, Bannon as top adviser"
659,Merkel’s Christian Democrats Have Worst Election Result Ever.,Angela Merkel’s Party Has Worst Result Ever In Berlin
660,"Trump: ’No. No. Next question,’ Comey asked Trump to end the investigation into Trump’s ties to Russia.",’No. No. Next question’: Trump flatly denies he ever asked Comey to end probe into Flynn
661,’Brietbart’ Blogger Slams ’Idiots’ for ’Racist’ Comments.,"Blogger Investigated by Police for ""White Boy"" Tweet Calls Breitbart Readers ‘Idiots’"
662,MILO: ’The Democrats Have Gone From Being the Party of the Cuckold’ - Breitbart.,"MILO: Democrats Are No Longer the Party of the Working Man, They’re ’the Party of the Cuckold’ - Breitbart"
663,Pence to skip Koch donor summit.,Mike Pence to skip Koch brothers event
664,The Right Way to Fly: A Guide to the Right Way to Fly.,Pigeons Resist Misguided Leaders
665,The Apple MacBook is the first laptop in years to ditch the cable-free plan.,Apple is replacing MacBook USB charging cables for free
666,"Michael Eric Dyson: I Would Have Rather Obama Go to Louisiana, Then on to Minnesota, Because He Could Truly Bring Healing to the Nation - Breitbart.",Michael Eric Dyson: I Would Prefer Obama Go to Louisiana and Minnesota Before Going To Dallas - Breitbart
667,Columbia Journalism Review: MILO’s Successful Comedy of Trump Is a Response to ’Comedians Who Are Tired of Being Tired of,Columbia Journalism Review Crowns Milo Conservatives’ Answer to Jon Stewart and Stephen Colbert - Breitbart
668,Mindy Kaling’s brother: ’I’m a black man’.,Mindy Kaling’s brother: I faked being black
669,Michel Onfray: ’There Will Be Rioters In France’ If Le Pen Wins French Presidency.,"Leftist Philosopher Predicts ""Immediate Riots"" If Le Pen Wins"
670,Alzheimer’s: What’s causing bee population decline?.,Are bees getting dementia?
671,The New York Gang War Is a New Thing.,Exiting a Bad Road Onto a Hopeful Path
672,Former UPS Employee: ’I Shot and Killed Donald Trump intentionally’ - Breitbart.,"Man Charged with Murder of UPS Driver: ’I Shot and Killed Donald Trump Purposely, Intentionally and Very Proudly’ - Breitbart"
673,Colorado Conservatives Band Together to Unseat GOP Delegates - Breitbart.,Conservatives Fight to Un-Seat Colorado’s #NeverTrump Delegates
674,Planned Parenthood Video Maker Drops Charges Against David Daleiden.,Charge Against Pro-Life Planned Parenthood Videomaker Dropped
675,Florida Voters Say Trump’s ’Dice Loque Piensa’ Is ’Dice Loque’.,"AP: Trump, Rubio Battle for Hispanic GOP Voters in Florida - Breitbart"
676,Gay Man: ’The Transgender Lobby Is Lying to You’ - Breitbart.,"Gay Writer Tells Breitbart, ’Gays and Transgenders Need to Divorce’ - Breitbart"
677,"Report: Miami Port Seizes More Than 1,000 Mounds of Coral Reef.","Dredging of Miami Port Badly Damaged Coral Reef, Study Finds"
678,"Trump, Cruz, Rubio: What are the best places to be?.",’Sanctuary cities’ are not the problem
679,Disney’s Moana: A Disney Princess Who Doesn’t Look Like Us.,A Latina Disney Movie Princess? The Wait Isn’t Over
680,Weeknd Cancels Jimmy Kimmel Live After Trump Appears on Show - Breitbart.,"The Weeknd, Muslim Rapper Belly Cancel Jimmy Kimmel Appearance Over Donald Trump - Breitbart"
681,Clinton Cash: A Graphic Novel.,‘Clinton Cash’ Exposes the Clintons’ Past and the Obamas’ Future
682,Obama Adds Another Medal to His Nobel Prize Collection - Breitbart.,President Obama Awards Himself Distinguished Public Service Medal - Breitbart
683,ESPN’s Baracketology Is a Bigger Thing Than Trumpetology - Breitbart.,ESPN Will Pitch NCAA Bracket Show Featuring President Trump Making His Picks - Breitbart
684,"The White House is in turmoil, and the White House is in turmoil.",Watching cable news in a bathrobe and holding meetings in the dark — 9 bizarre descriptions of the Trump White House
685,Joan Walsh: Trump ’Could Hurt’ Hillary on ’Toxic Bog of Hate’ - Breitbart.,"Joan Walsh: Bill’s Past Accusations Could ’Hurt’ Hillary, Trump ’Forcing’ Response To Things Clintons Don’t Want To Talk About - Breitbart"
686,"Stephen Furst, ’Animal House’ star, dies.","Stephen Furst, ’Animal House’ actor, dies"
687,"Duterte: ’Hitler Was a Drug-Abusing,’ ’Hypocrisy’.",Duterte: ’I’d Be Happy to Slaughter’ Three Million like Hitler
688,University of Missouri Curators Defend School’s Decision to Fire Associate Professor Who Told Students to ’Shut Up’ - Breitbart.,University of Missouri Board Upholds Melissa Click Firing - Breitbart
689,Kenyan police officer killed in attack.,Man shot dead outside US Embassy in Kenya after knife attack
690,Wasserman Schultz: ’I Will Be Frank With You’ - Breitbart.,"Wasserman Schultz: ’If I Was Trying to Rig the Outcome of the Primary - Trust Me, I Could Have’ - Breitbart"
691,Trump says he’ll sue every woman who has come forward to hurt his campaign.,Donald Trump kicked off a speech about his first 100 days by vowing to sue every one of his accusers
692,WikiLeaks: Media Have ’erected a Demon’ By Protecting Hillary Clinton - Breitbart.,Assange: Media ’Erecting a Demon’ by Protecting Hillary Clinton - Breitbart
693,Peyton Manning Sees Trump as a ’Dangerous Thing’ - Breitbart.,Peyton Manning Golfed with President Trump on Sunday
694,"Trump Fires Back at Britain, but U.S. Still Says It.",Trump Offers No Apology for Claim on British Spying
695,Lance Armstrong: I’m not behind the wheel.,Armstrong cited for traffic offenses
696,"Donald Trump, Hillary Clinton, Russia: Your Friday Evening Briefing.","Your Friday Evening Briefing: Prince, Donald Trump, Game of Thrones"
697,Donald Trump’s New York Times: ’The New York Times’s New York Times’s New York Times’s New York,"Republican Voters Reject Mitt Romney, GOP Elites - Breitbart"
698,Ed Kilgore: Jeb Bush’s ’Bizarre’ Campaign Is ’Not a Success’ - Breitbart.,"How Jeb! Spent $50 Million to Destroy His Campaign, His Legacy, His Name - Breitbart"
699,Bill Maher’s ‘Lemonade’ Is a ‘Fun’ Thing.,Bill Maher Isn’t High on Trump: The State of Free Speech in a New Era
700,Michael Moore: Americans ’Are Not Existent More Susceptible to Violence’ Than Citizens of Other Nations - Breitbart.,"Michael Moore: Americans Are Violent, ’We Start Wars, We Bomb Civilians’"
701,"Donald Trump, China, Russia: Your Thursday Evening Briefing.","Taiwan, Italy, Joe McKnight: Your Friday Evening Briefing"
702,Syria: 2 bombings kill 70 in Damascus.,Islamist rebels claim responsibility for twin blasts in Damascus
703,Trump: ’I’m not going to lie’.,Trump: Clinton ’trying to smear’ my supporters
704,Frank Luntz: Clinton’s ’Basket of Deplorables’ Smear Is a ’Important Political Mistake’,"Frank Luntz, GOP Word-Picker, Slams ’Clinton’s ’Deplorables’ Smear - Breitbart"
705,"Menendez: Trump’s Border Wall Is ’Not a Wall, It’s a Crime’ - Breitbart.",Menendez Grills Tillerson on Mexico: Communists Build Walls Like in Berlin - Breitbart
706,Donald Trump: ’They Will Soon Be Calling Me MR. BREXIT!’.,Trump Tweets: ’They’ll Call Me Mr. Brexit’ As He Predicts Victory Despite Poll Numbers
707,Irving Joyner: ’We Are Going Out and We Are Mobilizing People’ - Breitbart.,NAACP Urging Voters to Vote Even if You Don’t Have ID - Breitbart
708,Clinton’s ’mistakes’ are not her fault.,"Clinton slams New York Times, DNC, Comey for her loss"
709,Argument from Authority: ’I Must Be Right’ - Breitbart.,Virgil: Arguments from Bad Authority: How the Mainstream Media Tries to Trick You
710,Obama Considering Removal of Admiral Michael Rogers.,Obama Is Considering Removing N.S.A. Leader
711,Tur: ’I Almost exclusively covered Fires and Shootings in NYC Area’ - Breitbart.,NBC’s Tur to GOP Rep Rooney: ’I Don’t Know What You’re Referring To’ With Obama Promising Russia ’More Flexibility’ - Breitbart
712,Congressional Black Caucus to present report on missing black children.,Congressional caucus to present report on missing black girls
713,Why the Florida child abuse scandal is so shocking.,"In Duggar scandal, a troubling message to girls"
714,"Trump’s Cabinet Picks, and the Path to the White House.",Trump Expands Search for His Secretary of State
715,Pence: Trump ‘Made the Right Decision’ with Comey - Breitbart.,Pence: Trump ’Made the Right Decision at the Right Time’ to Fire Comey
716,Romney: ’A Race Helps Donald Trump Win the Nomination’ - Breitbart.,"Mitt Romney: If President, Trump Will ’Have to Deal with Things Far More Complicated than Republican Delegate Rules’ - Breitbart"
717,Pope Francis Delivers Mother Teresa’s Holiness.,Mother Teresa Is Made a Saint by Pope Francis
718,"Rudy Giuliani: If It Came Down To Trump or Cruz, I Would Vote For Trump - Breitbart.","Rudy Giuliani: Between Trump and Cruz, ’I’d Vote for Trump’ - Breitbart"
719,Turkey’s Mevlüt Çavuşoğlu: ’We Have Been Very Clear’ in Syria.,EXCLUSIVE: Foreign Minister: Turkey ’Very Clear’ in Entering Syria to Defeat Islamic State - Breitbart
720,Ryen Russillo: ’I’m Not Going to Take It anymore’ - Breitbart.,Sports Talk Host Ryen Russillo Trashes Colleagues for Ruining Programs with Anti-Trump Rants - Breitbart
721,Terry McAuliffe’s Cuba Trip Turns Out to Be Bust for McAuliffe.,Hillary Confidante McAuliffe Made 2010 Cuba Trip ‘to Sell Virginia Wine and Apples’ - While Hillary Was Secretary of State - Breitbart
722,"Pluto Is Not a Planet, NASA Says.",NASA Scientists Propose New Definition for Planets That Would Include Pluto - Breitbart
723,Islamic State Shell May Have Contaminated a Military Base.,Shell Fired by ISIS at U.S. and Iraqi Troops May Have Contained Chemical Agent
724,British tourist arrested in Dubai sex-offender case.,UK woman arrested in Dubai after reporting rape
725,Trump’s E.P.A. Budget Is a ‘Dangerous Disaster’.,What’s at Stake in Trump’s Proposed E.P.A. Cuts
726,Jadon and Anias McDonald’s twins are reunited.,Separated twins move to rehab after emotional farewell
727,"Lee Daniels: 33,000 People Each Year Die from Gun Violence - Breitbart.",’Butler’ Director Lee Daniels Inflates ’Gun Violence’ Numbers By 66% in DNC Gun Control Plea - Breitbart
728,Sharyl Attkisson: ’Full Measure’: VA Contractor Gets Millions of Dollars for Cheating Veterans - Breitbart.,Attkisson’s Feb 19 ’Full Measure’ Investigates VA Contractor Accused of Cheating Veterans - Breitbart
729,Supreme Court Deadlocks in Obama’s Immigration Plan.,Supreme Court Tie Blocks Obama Immigration Plan
730,Chicago Police Release Video of Deadly Shooting of Black Man.,Chicago Releases Videos From Police Officers’ Killing of 18-Year-Old
731,Sports Media: Kaepernick Hasn’t Been Called - Breitbart.,Sports Writers: Colin Kaepernick Getting Blackballed by the NFL - Breitbart
732,Firefighter Climbs 110-Set Stair Machine at Planet Fitness.,Firefighter in Full Gear Climbs Gym’s Stair Machine to Honor 9/11 First Responders
733,The U.S. $10 bill is a ‘fantasy’.,Evolution of the $10 bill
734,Poll: Media Coverage of 2016 Election Was ’biased’ - Breitbart.,Post-Election Poll: 78 Percent Say Media Coverage Was Biased - Breitbart
735,Gorsuch’s First Letter to Trump Is a Memoir.,"In Gorsuch, Conservative Activist Sees Test Case for Reshaping the Judiciary"
736,Janet Yellen: Fed Moving to Keep Growth on an Even keel.,Yellen Signals Shift From Stimulating Economy to Sustaining Growth
737,Bruce Jenner dies in fatal accident.,Bruce Jenner involved in car accident with one death
738,Florida Man Accused of Raping Girl After He Lured Her Into Home Says ’Provocative Clothing’ Signaled Consent.,Police: Man Charged with Raping 8-Year-Old Said ’Provocative Clothing’ Suggested Consent
739,Paul Ryan: ’I’m Going to Be Challenged’ by Wisconsin Voters - Breitbart.,"As Paul Nehlen Gains Traction, Paul Ryan Does Local Interviews"
740,Amy Schumer Uses Gun in ’Snatched’ Trailer - Breitbart.,Gun Controller Amy Schumer Wields Gun in ’Snatched’ Trailer
741,Hillary Clinton’s Emails Reveal How Foreign Donations to the Clinton Foundation and Bill Clinton’s.,"Donations to Foundation Vexed Hillary Clinton’s Aides, Emails Show"
742,Pope Francis Shouts at Crowd for Touching Him.,Pope Scolds Overzealous Mexicans Who Touched Him
743,Hillary Clinton’s Defeat Is a Threat to Her Nomination.,"Democrats’ Divisions Linger, but Parties Have Seen Far Worse"
744,South Korean Drone Fires 20 Rounds at North Korean Drone.,South Korea Fires Warning Shots at North Korean Drone
745,Patagonia CEO: Trump ’Wants to Take Back Our Land’s’ - Breitbart.,Outdoor Clothing Giant Patagonia Pledging to Lead Resistance to President Donald Trump
746,Hillary Clinton’s Speech: ’I’m Not a Pneumonizer’ - Breitbart.,She Did It: Healthy Hillary Delivers a Speech Without Coughing - Breitbart
747,ISIS forces close in on Tikrit.,Iraqi forces expected to retake Tikrit within days
748,AfD Leader Calls for ’Open Borders’ for Refugees.,Merkel Deputy: Surging Anti Mass Migration Party Should Be ’Monitored’ By Govt - Breitbart
749,Obamacare ’Replacement’ Plan Would Allow For Taxpayer Funding Of Abortion - Breitbart.,Healthcare Expert: GOP Senators’ Obamacare Replacement Plan Expands Taxpayer Funding of Abortions - Breitbart
750,Gunmen Attack Somali Hotel in Somalia.,At Least 14 killed in Somalia Hotel Jihadist Attack - Breitbart
751,Hillary Clinton to Endorse Bernie Sanders in Iowa - Breitbart.,Hillary Brings In Bill To Make Final Pitch in Iowa - Breitbart
752,MILO Cancels UC Davis Protest: ’Breitbart’s Milo Yiannopoulos Is ’Speared Down’ - Breitbart.,MILO Media Meltdown: Breitbart Editor’s UC Davis Event Dominates Headlines - Breitbart
753,Wasserman Schultz: Federal Government May Not Allow Passenger to Check Gun in Bag - Breitbart.,Debbie Wasserman Schultz: Federal Government May Ban Passengers from Checking Guns in Baggage
754,Footsteps: A Jewish Family’s Path to Divorce.,The High Price of Leaving Ultra-Orthodox Life
755,The life of a Navy veteran.,Remembering the seven USS Fitzgerald sailors
756,Sam Ash Music’s Guitar Shop Is a ‘New Thing’.,"A Fancy Guitar to Sell, but Hard to Play in Handcuffs"
757,Bernie Sanders’s Speech Is a Stunningly Un-American.,"Success of Jerry Brown, and California, Offers Lesson to National Democrats"
758,Winter storm moves up East Coast.,Winter storm moves up East Coast
759,"Gorsuch: Abortion Is ’Right’ in America, ’Right’ in the World - Breitbart.",Neil Gorsuch on Abortion: Roe v. Wade Is a Precedent of the U.S. Supreme Court - Breitbart
760,"Muhammad Ali’s Legacy: Ticket Prices Free, but Ticket Sales Are Still Going Down - Breitbart.",Scalpers Look to Cash In Selling Muhammad Ali Funeral Tickets - Breitbart
761,Team Says U.S. Women’s Soccer Players Are Not Paying What They Are Worth - Breitbart.,"U.S. Soccer Strikes Back at Women’s Bias Charges, Says Men Generate More Money - Breitbart"
762,Children in poverty: What to do about it.,CNN Hero helps Miami kids choose ’Guitars Over Guns’
763,Boko Haram kidnappers: What happened to Amina Ali?.,Escaped Chibok girl: I miss my Boko Haram husband
764,The Chinese People’s Daily: The Chinese People’s Daily’s Newest City.,Abandoned Chinese village swallowed by vines
765,"Trump’s tweet about a public company is a public company, and it’s not a private one.",This app will send you alerts when Donald Trump tweets about stocks you own
766,Pruitt confirmation: What we know.,Senate confirms Scott Pruitt to lead EPA
767,The ability of policymakers to stimulate economic growth is shrinking rapidly.,BARCLAYS: There is nothing left to fight the coming economic storm
768,Chinese kung fu expert: ’I’m a kung fu fan’.,"Kung fu granny, 93, becomes internet sensation in China"
769,Nintendo to Launch Virtual Console Games on Nintendo Switch at Launch - Breitbart.,Nintendo Switch Won’t Launch with Virtual Console - Breitbart
770,Jenner: I’m Looking Into Running for Office to Promote LGBT Issues - Breitbart.,Caitlyn Jenner: ’Looking Into’ Running for Office to Bring GOP Around on LGBT Issues - Breitbart
771,"McCain, Graham: Petraeus ’outrageous’.",Two senators say Petraeus investigation ’mishandled’
772,Clinton’s speech: What she said.,"For Hillary Clinton, a defining moment"
773,US prosecutors: 2 nephews of Venezuela’s first lady.,Venezuelan first lady’s nephews convicted
774,World Technology Institute Reversals Decision to Allow Girls to Wear Pants on Condition.,Saudi Institute Reverses Decision to Allow Women to Wear Pants
775,The fallout from a 2005 tape of Donald Trump bragging about his sexual exploits continues to dominate the news.,Things aren’t looking great in the polls for Donald Trump
776,Chinese Reporter Disappears From Hong Kong Airport.,Chinese Journalist Disappears While Flying to Hong Kong - Breitbart
777,"Trump, Clinton bounce back.",Trump bounces into the lead
778,"Michael Bloomberg Would Save America, but Not Trump - Breitbart.","Mike Bloomberg Would Lose In Landside Against Trump, Sanders - Breitbart"
779,Boehner’s bartender’s plan to kill Boehner is ’a big deal’.,Report: Boehner’s bartender planned to poison him
780,Poll: Democrats’ Biggest Debates With Comey’s Decision to Not Indict Hillary Clinton - Breitbart.,"Poll: FBI Exception for Hillary Clinton Slammed by Middle Class, Backed by Democrats’ High, Low Extremes - Breitbart"
781,Gorsuch’s Email: ‘Cheering Up’ About Obama’s Torture.,Neil Gorsuch Helped Defend Disputed Bush-Era Terror Policies
782,The New Books That Reveal the Politics of Our Time.,8 New Books We Recommend This Week
783,Belgian Judge Sentenced 15 for Terror Plot.,Belgian Court Jails Islamic State Cell Leaders for Foiled Plot
784,WASHINGTON (Reuters)   WASHINGTON (Reuters)   WASHINGTON (Reuters)   WASHINGTON (Reuters)   WASHINGTON (Reuters,Tesla is making changes to customer agreements after being accused of suppressing complaints
785,Francois Hollande Fast Facts.,Francois Hollande Fast Facts
786,Paul Ryan: ’We Are Going to Fix This Nation’s Tax Code Once and for All’.,Speaker Paul Ryan Lays Out His Tax Reform Plan
787,Glenn Beck: ’This Is Your Last Call’ - Cruz Campaign ’Will Not Be Stopped’ - Breitbart.,Beck Begs South Carolinians to Support Ted Cruz - ’Fall to Your Knees and Pray to God to Reveal to You What the Hour Is’ - Breitbart
788,Janet Reno: The life of a woman who died.,"Janet Reno’s career punctuated by highs, lows"
789,Trump’s immigration orders: What they mean.,"For these people, Trump’s plans are personal"
790,Oklahoma Teacher Charged with Forced Sex with Student.,Teacher Charged with Forcible Sodomy of Student
791,India’s Raghuram G. Rajan Warns Investors of ‘Risk of Collapse’.,"Raghuram Rajan, India’s Departing Central Banker, Has a New Warning"
792,Three key events could spur the Chinese stock markets.,CREDIT SUISSE: These 3 things could send China’s markets crazy
793,Bannon: Islam a religion of submission.,Steve Bannon in 2010: ’Islam is not a religion of peace. Islam is a religion of submission’
794,Paul Ryan: ’I’m Sure We Will Work Well With Whomever His Chief of Staff Will Best Serve’ - Breitbart.,Politico: Ryan Has ’No Concerns’ with Bannon as Trump Chief of Staff - Breitbart
795,Lynch: Obama Admin Is Scrubbing Orlando Terrorist Calls to Ensure Terror Propaganda Is Not Used for Terrorism - Breitbart.,Breitbart’s Aaron Klein: Obama Scrubs Orlando 911 Tape but Played Up Benghazi ’Protest’ Video
796,Tom Brady’s diet is so strict that he’s eating a whole lot of vegetables.,Here’s why Tom Brady’s ’no-tomato’ diet is bogus
797,Aaron Hernandez’s trial: Jury in Aaron Hernandez case.,Aaron Hernandez murder trial
798,Clinton campaign raised over $45 million in primary money.,"Hillary Clinton raised over $45 million in primary money, campaign says"
799,Trump’s steak preference is a big deal.,Trump’s steak preference has men wondering the right way to order meat
800,Nepal earthquake: What to do now.,"In Nepal, lift spirits through music (Opinion)"
801,Donald Trump: ’Keep America Great’ - Breitbart.,Donald Trump Trademarks 2020 Campaign Slogan: ‘Keep America Great!’
802,Oracle is appealing the case against Google over its Android software.,"As promised, Oracle just filed its appeal in its massive case against Google"
803,"Hillary Clinton: ’I’m Not a Terrorist,’ ’I’m Not a Terrorist’ - Breitbart.",[*BN*]The Nuclear Option[*]: Hillary Clinton Has Fought the War on Terror - And Failed - Breitbart
804,"Poll: Donald Trump, Hillary Clinton in a Tie in Florida - Breitbart.",Donald Trump and Hillary Clinton Statistically Tied in New Poll of Florida Voters - Breitbart
805,North Korea Threatens to Use Nuclear Weapons to Destroy Manhattan.,North Korea Threatens Hydrogen Bomb Attack on Manhattan
806,I’ve seen a lot of weird movies in the nine years I’ve attended the Sundance Film Festival.,Paul Dano and Daniel Radcliffe star in the strangest movie I’ve ever seen at the Sundance Film Festival
807,Fort Lauderdale Shooter Posts ’Islamist’ Content on Social Media.,FBI: We Have Not Found Jihadi Content on Ft. Lauderdale Shooter’s Social Media
808,Weiner: The Documentary That Funded Hillary Clinton’s Film Funded by Soros.,SPOILER: New Anthony Weiner Documentary Backed By George Soros - Breitbart
809,Ravens commit boatloads of penalties to win game they didn’t need to win.,An NFL game turned into a WWE wrestling match as the Ravens came up with an ingenious way to run out the clock
810,Donald Trump’s Financial Situation Is Worse Than Hillary Clinton’s.,Donald Trump Starts Summer Push With Crippling Money Deficit
811,North Carolina’s controversial ’bathroom law’ is just the latest example of how LGBT groups are trying to block the state’s new,’This is a bait and switch’: Liberal groups are furious over North Carolina’s ’bathroom law’ replacement
812,Bret Stephens: Climate Change Is ’Not a Big Problem’ - Breitbart.,Delingpole: New York Times Snowflake Readers Melt in Horror at Climate Skeptic Columnist Bret Stephens - Breitbart
813,Donald Trump’s Victory Is Like No Other Presidential Campaign - Breitbart.,"Hillary Clinton Mirrors Richard Nixon in 1972, Donald Trump Mirrors Andrew Jackson - Breitbart"
814,Sheriff Babeu: Trump’s Immigration Plan Couldn’t Be a ’Great Christmas Present’ - Breitbart.,AZ Sheriff: Deporting Criminal Illegals ’Couldn’t Be a Greater Christmas Present’ for Law Enforcement - Breitbart
815,Bannon’s rise to the top of Trump’s campaign.,Why Bannon’s white nationalism should scare America
816,Princeton Election Consortium Founder: I Will Eat a Bug on CNN - Breitbart.,Princeton Polling Expert Who Called Election Wrong Eats a Bug on CNN to Honor Promise - Breitbart
817,Gay Rights Victory in Chicago: Federal Appeals Court Rules on Same-Sex Employment.,"Civil Rights Act Protects Gay Workers, Court Rules"
818,HIV-positive teen shows ability to control levels of HIV.,The teenager controlling her HIV infection
819,Miranda Otto: ’24: Legacy’ is a reboot.,’24: Legacy’ cast on continuing the legacy
820,Obama’s Executive Gun Ban Is Being Told to the Nation - Breitbart.,Executive Gun Control: Five Seniors Obama Might Have Disarmed
821,Twitter’s CEO Jack Dorsey: ’The Future Is a Lot Like the Past’ - Breitbart.,Analysts Predict Grave Future for Twitter Following Quarterly Earnings Report - Breitbart
822,"Elizabeth Warren’s rallying cry: If we fight for our values, we will win.",Bernie Sanders a good fit for Warren fans (Opinion)
823,Nina Turner: ’I Hope That Bernie Sanders Does Get the Opportunity to Meet Pope Francis’ - Breitbart.,Sanders Surrogate: Bernie and the Pope Are ’on the Same Page’ on Economic Morality - Breitbart
824,Texas Farm Bureau: Scott Pruitt ’Has the Right to Protect Our Environment’ - Breitbart.,Texas Farmers Cheer Trump EPA Pick
825,Clinton emails: What she learned.,Latest Clinton email batch: Clinton learns how to email
826,NYT: Roger Ailes Inquiry Will Not Speak Until Its Over - Breitbart.,UPDATE–Fox News Chief Fights Back: ’Roger Ailes Has Never Sexually Harassed Megyn Kelly’ - Breitbart
827,Milo: ’I’m Not a Victim’ - Breitbart.,MILO Takes On Lesbian Hate Crime Hoaxes At Texas Tech - Breitbart
828,roller coaster crash: Boy falls out of roller coaster.,Boy falls off Pennsylvania roller coaster
829,Serena Williams and Garbiñe Muguruza Clash Over Tennis Ball.,Garbiñe Muguruza Upsets Serena Williams in French Open Final
830,The US is going to be the world’s biggest military force in 20 years.,US special ops are still trying to figure out how to counter Russia’s new way of warfare
831,Will &amp Grace: NBC’s ‘Will &amp Grace’ Returns.,NBC Will Bring Back ‘Will &amp Grace’
832,4 killed in shooting at home in Atlanta.,Four shot and killed at Atlanta-area home
833,Trump’s Speech on Black Lives Matter.,"‘Look at My African-American Over Here,’ Donald Trump Says at Rally"
834,Donald Trump Calls Anti-Trump Protesters ‘Thugs’.,"Look at My African-American Over Here,’ Donald Trump Says at Rally"
835,elephants in the world’: A day in the life of a mother.,The glorious mothers of elephants and whales (Opinion
836,Marco Rubio: ’Close to a 90 Percent Attendance Record’ in Senate.,Sen. Rubio’s Voting Record ’Much Worse’ Than Senators
837,"Breitbart News Daily: Dolan, Cardinal Dolan, Mancini.",Breitbart News Daily: Border Control
838,Flash Mob’s to Take Place in Michigan August 30.,Flash Mobs’ for Trump to Take Place Throughout Michigan
839,Illegal Immigrants Found in Texas Border State.,Corpses of 3 Illegal Immigrants Found in Remote Texas County -- 80 Miles from Border
840,Hillary Clinton’s campaign is trying to make a comeback.,Why Hillary Clinton won’t do a press conference
841,"Hillary Clinton Wades Into Brexit Debate, Blames Obama for ’Brexit’ Advice.",Clinton Wades In: Urges Britain to Remain In European Union
842,National Trust Blasts ’Prejudice and Pride’ Festival for ’Failing to Recognise’ LGBT Links.,WATCH: Delingpole Takes Apart National Trust For Politicising Britain’s Heritage
843,Donald Trump Jr. Is Not a ‘Pollsster’.,Donald Trump Jr. Criticizes London Mayor After Deadly Attack
844,21 selfies from April 29 through May 5.,Look at me! 21 selfies of the week
845,"The Media Loves to Milk Twitter Comments, and Some Media Find Them to Be a ‘Joke’.",Duterte Fires Back at Chelsea Clinton: ’Did You Slam Your Father’ over Lewinsky Affair?
846,Texas: More than Half of Texas Children Waiting to Be Admitted to Charter Schools.,EXCLUSIVE - Ted Cruz on School Choice Week: Let’s Unleash American Exceptionalism for Every Child
847,Jared Kushner and Cui Tiankai Meet in Trump Tower.,China Learns How to Get Trump’s Ear: Through Jared Kushner
848,HuffPo’s Ryan Grim: Shutting Down Clinton Foundation Could Stop the ’Oligarchs’ of the World.,HuffPo’s Ryan Grim Heckles the Clinton Foundation on Twitter: ’Think of the Oligarchs!’
849,"Venus Williams, a Fashionista, Is a Fashionista.","Venus Williams, Off the Court"
850,German Military Barracks Should Change Names to Show ’Nazi Past’.,German Army Needs to Remove Nazi-Era Names: Defense Minister
851,"Illegal Immigrant, Another Man, Allegedly Rapes, Rapes, Rapes, Rapes Woman.","Illegal Immigrant Accused of Repeatedly Raping, Kidnapping Autistic Woman"
852,Muslim Mother Shaves Headscarf for Child Taking Off Her Headscarf.,Italy: Muslim Mother Shaves Head of Daughter Who Refused to Wear Veil
853,"Protesters block Donald Trump rally in Charlotte, North Carolina.",It was like I was crossing the border’: Trump had to take evasive maneuvers to avoid protesters near San Francisco
854,"Poll: Trump Only Had 42% Approval, Lowest Since 1945.","Poll: 96% of Trump Supporters Would Vote for Him Again, Win Popular Vote"
855,Rohingya crisis: What we know and don’t know.,Unwanted: The plight of Myanmar’s Rohingya boat people
856,Is a Drug-Free Life Worth It?.,New Ways to Treat Pain Meet Resistance
857,Fast Facts.,George Lucas Fast Facts
858,Hong Kong leader banned from running in upcoming elections.,Hong Kong bans pro-independence candidate
859,"49ers Cut Chip Kelly, Trent Baalke in San Francisco.","49ers Fire Coach Chip Kelly, GM Trent Baalke"
860,Cisco’s engineers are being moved to advisory roles within the company.,Cisco CEO Chuck Robbins has finally made the internal power move that everyone was waiting for
861,The list of the top 10 most popular movies of 2016.,"This is the best pizza place in America, according to Yelp"
862,ESPN Announces Keith Olbermann to Host 25th Anniversary Special.,ESPN to Bring Back Trump-Hating Keith Olbermann for 25th Anniversary Show
